link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,Đỗ thị lý,kcn này khắc phục được vấn đề cay mắt nữa là ok,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,14: 04 | 03/08/2024,5.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,Con Bố Tám,"Hasaki - 03/08/2024
Dạ cảm ơn bạn luôn đồng hành cùng Hasaki, chúc bạn nhiều sức khỏe ạ.",- 03/08/2024,14: 55 | 09/07/2024,5.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,NGUYỄN THỊ THÚY LIỄU,M k hợp bị cay mắt,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,23: 59 | 01/06/2024,5.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,Phạm Nguyễn Phương Trúc,Canh deal mua giá hời.sài kcn này oy đúng là chân ái,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,15: 01 | 08/04/2024,5.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,quynhtram nguyen,"Bôi lên da có nâng tone, trắng hồng, khô thoáng kiềm dầu tốt, ko đổ thêm dầu, chắc chắn sẽ mua lại lần sau",Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,15: 15 | 07/11/2023,5.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,a nhân,"Sau khi chia tay laroche do ko mua đc bản cũ, thì tui đến với em này, tui tính toán thì nó ngang giá với MartiDem đang on top review về độ chống nắng. Anessa thì ko cần bàn cãi về độ chống nắng rồi, riêng em này tui đánh giá nâng tone ổn, nhìn hồng hào, mịn, kiềm dầu thì ổn hơn Laroche bản cũ tui từng dùng, cũng nhẹ mặt hơn Laroche nha chị em. 9đ, trừ 1 điểm do giá chát nha",Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,22: 49 | 10/07/2023,4.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,Hồng Nhung,"Mình đã sài gần hết chai. Khá hài lòng với dòng serum mới này của hãng. Chống nắng tốt. Dưỡng da ổn , tính năng mới được quảng cáo mình nghĩ có hiệu quả vì sài thấy nhỉnh hơn loai sữa dưỡng . Bôi lên da trắng hồng tự nhiên . Đáng trải nghiệm",Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,06: 09 | 30/05/2023,5.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,Nguyễn Hải Yến,Mình đã dùng hết 1 chai giờ quay lại mua lần 2.Thực sự lót trang điểm và chống nắng ổn lắm nhe.da căng lên bóng bóng chứ k sạm đi thoa khoảng 2 ~ 3 lần trong ngày cảm nhận sự khác biệt,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml (Mẫu Mới 2022) Đã mua hàng online,20: 12 | 03/04/2023,4.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,Thu Thủy,dùng cũng ok đấy ạ,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml (Mẫu Mới 2022) Đã mua hàng online,16: 51 | 17/12/2022,5.0
https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['114989', '99215']",99215,Nhung nguyen,Đã dùng sang lọ thứ 3 và rất thích sp này!,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml (Mẫu Mới 2022) Đã mua hàng online,07: 42 | 15/08/2022,5.0
https://hasaki.vn/san-pham/tinh-chat-cocoon-nghe-hung-yen-x2-2-sang-da-chuyen-sau-30ml-102383.html,[''],102383,Ngọc Mỹ,Hơi chậm chút nhưng mỏng nhẹ và lành tính,Tinh Chất Cocoon Nghệ Hưng Yên x2.2 Sáng Da Chuyên Sâu 30ml Đã mua hàng online,14: 45 | 11/03/2024,4.0
